,Unnamed: 0,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,coordinates
85,420,Holmes (VUP),Dorchester,02121,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
86,421,Home Again (Back of the Hill),Mission Hill,02120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
87,424,Homestead House,Roxbury,02121,6,6,0,1.0,1.0,0.0,5,5,0.0,Rental,Private,,,"(52.4396754, -1.4668099)"
88,427,Hopkins-Capen-Mountain-Fuller,Dorchester,02124,9,5,4,0.0,0.0,0.0,9,5,4.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
89,428,Horizons I,Mattapan,02126,7,7,0,1.0,1.0,0.0,6,6,0.0,Rental,Public,,,"(-40.3300357, 175.6970234)"
90,436,Hunt (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"(<NA>, <NA>)"
91,438,Hurley (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
92,441,Hyde/Jackson Homes,Jamaica Plain,02130,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
93,444,Independent Living Project,Hyde Park,02136,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
94,449,Infill I (MHFA) ?,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Public,,,"(<NA>, <NA>)"
95,450,Ingram (VUP),Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
96,455,Intervale St. HOME AGAIN,Dorchester,02121,15,2,13,0.0,0.0,0.0,15,2,13.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
97,456,Intervale-Fayston,Dorchester,02121,5,3,2,0.0,0.0,0.0,5,3,2.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
98,460,Jackson (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
99,467,Johnson (VUP) CDFI,Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
100,470,Julian Phase I - HOME AGAIN,Roxbury,02119,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
101,471,KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
102,473,Keazer (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
103,474,Kelley (VUP),Jamaica Plain,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
104,476,Ketchen (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
105,478,Kimbrough (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
106,483,Lamartine Homes - Home Again,Jamaica Plain,02130,10,2,8,0.0,0.0,0.0,10,2,8.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
107,488,Laramie (VUP),Hyde Park,02136,2,1,1,1.0,0.0,1.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
108,489,Larchmont Residence,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"(39.756723, -84.257029)"
109,490,Larkin (VUP),Jamaica Plain,02130,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
110,492,Lawrence (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
111,513,Lucky Strike Residential Project,Dorchester,02122,22,3,19,19.0,0.0,19.0,3,3,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
112,514,Luis (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
113,517,M Walsh (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"(<NA>, <NA>)"
114,520,M.R. Smith (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
115,529,Manganello (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
116,533,Marriro (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
117,534,Martinex-Alamo (VUP),Roxbury,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
118,547,Mendes (VUP),Dorchester,02125,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
119,548,Meranda (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
120,554,MHPI Community Apartments,Mission Hill,02120,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
121,557,MHPI IV-A,Jamaica Plain,02130,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,"(<NA>, <NA>)"
122,558,MHPI IV-B,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,"(<NA>, <NA>)"
123,564,Miller (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
124,570,Mission Hill Phase I - HOME AGAIN,Mission Hill,02120,22,6,16,0.0,0.0,0.0,22,6,16.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
125,573,Mission Hill-Phase III - Home Again,Mission Hill,02120,24,6,18,0.0,0.0,0.0,24,6,18.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
126,582,Montebello Rd Coop,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Cooperative,Private,,,"(<NA>, <NA>)"
127,583,Moore (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
128,593,Mt. Bowdoin/Erie Ellington - HOME AGAIN,Dorchester,02121,16,6,10,0.0,0.0,0.0,16,6,10.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
129,594,Munevar (VUP),Jamaica Plain,02130,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
130,613,Norflett (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
131,614,Norfolk Street Transitional,Mattapan,02126,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,,"(<NA>, <NA>)"
132,621,Norwell Whitfield (HOME AGAIN),Dorchester,02124,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
133,629,Oliveira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
134,647,Owens (VUP),Dorchester,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"(<NA>, <NA>)"
135,667,Parry (VUP),Roxbury,02121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,"(<NA>, <NA>)"
136,669,Pass (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
137,671,Patrick (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
138,677,Pereira (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
139,678,Perkins (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
140,680,Peters (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
141,686,Pinnock (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
142,689,Portis Family House,Jamaica Plain,02115,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,,"(<NA>, <NA>)"
143,690,Powell (VUP),Roxbury,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
144,693,Putnam Place,Roxbury,02121,9,1,8,2.0,0.0,2.0,7,1,6.0,Ownership/Rental,Private,,,"(42.3303466, -71.0880983)"
145,699,Raven-Ramsey-Folsom,Dorchester,02125,7,4,3,1.0,0.0,1.0,6,3,3.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
146,700,Reddick (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
147,709,RMSC Family House Shelter Conversion,Dorchester,02121,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,,"(<NA>, <NA>)"
148,711,Robinson (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
149,716,Rodrigues (VUP),Jamaica Plain,02130,2,2,0,1.0,1.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
150,731,Rutland Square,South End,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"(42.3415904, -71.0780189)"
151,734,Safe Haven,Back Bay,02116,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
152,738,Sargent Street Homes - Home Again,Roxbury,02125,16,5,11,0.0,0.0,0.0,16,5,11.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
153,747,SECD Housing,Roxbury,02118,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,Y,"(<NA>, <NA>)"
154,756,Singleton (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,"(<NA>, <NA>)"
155,757,Siochain II,East Boston,02128,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,"(<NA>, <NA>)"
156,762,"Smith, Steven (VUP)",Dorchester,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
157,763,Soares (VUP),Roxbury,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,"(<NA>, <NA>)"
158,773,SOUTH END APARTMENTS RENOVATION PROJECT,Roxbury,02118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,,,"(<NA>, <NA>)"
