,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
453,Ink Block Siena (Building 5),South End,02118,76,0,76,74.0,0.0,74.0,2,0,2.0,Ownership,Private,,
454,Interfaith Apartments,South End,02118,69,69,0,0.0,0.0,0.0,69,69,0.0,Rental,Private,,Y
455,Intervale St. HOME AGAIN,Dorchester,02121,15,2,13,0.0,0.0,0.0,15,2,13.0,Ownership/Rental,Private,,
456,Intervale-Fayston,Dorchester,02121,5,3,2,0.0,0.0,0.0,5,3,2.0,Ownership/Rental,Private,,
457,Intervale-Magnolia,Dorchester,02121,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y
458,J.J. Carroll Apts (2-37),Brighton,02135,64,64,0,0.0,0.0,0.0,64,64,0.0,Rental,Public,Y,
459,J.J. Meade (2-38),Dorchester,02124,40,40,0,1.0,1.0,0.0,39,39,0.0,Rental,Public,Y,
460,Jackson (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
461,Jackson Commons,Roxbury,02119,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,,
462,Jacob's Place,Dorchester,02121,12,0,12,0.0,0.0,0.0,12,0,12.0,Ownership,Private,,
463,Jamaica Plain Apartments,Jamaica Plain,02130,103,103,0,0.0,0.0,0.0,103,103,0.0,Rental,Private,,Y
464,Jamaica Plains Coop Serv,Jamaica Plain,02130,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,Y,
465,Jewish Community Housing for the Elderly,Brighton,02135,61,0,61,0.0,0.0,0.0,61,61,0.0,Rental,Private,Y,
466,John Boyle O'Reilly School,South Boston,02127,32,32,0,0.0,0.0,0.0,32,32,0.0,Rental,Private,Y,Y
467,Johnson (VUP) CDFI,Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
468,JP Cohousing,Jamaica Plain,02130,30,0,30,27.0,0.0,27.0,3,0,3.0,Ownership,Private,,
469,Julia Martin House,Jamaica Plain,02130,56,56,0,0.0,0.0,0.0,56,56,0.0,Rental,Private,Y,
470,Julian Phase I - HOME AGAIN,Roxbury,02119,13,2,11,0.0,0.0,0.0,13,2,11.0,Ownership/Rental,Private,,
471,KAFANM - Circle of Haitian Women (aka Women's Institute),Dorchester,02124,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
472,Kasanof Bakery (Rental & Ownership),Roxbury,02119,64,48,16,0.0,0.0,0.0,64,48,16.0,Ownership/Rental,Private,,
473,Keazer (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
474,Kelley (VUP),Jamaica Plain,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
475,Kenmore Abbey,Fenway,02215,199,199,0,1.0,1.0,0.0,198,198,0.0,Rental,Private,Y,Y
476,Ketchen (VUP),Roxbury,02119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
477,Keystone Apartments,Dorchester,02124,223,223,0,1.0,1.0,0.0,222,222,0.0,Rental,Private,Y,Y
478,Kimbrough (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
479,Kittredge Square,Roxbury,02119,6,0,6,3.0,0.0,3.0,3,0,3.0,Ownership,Private,,
480,Laboure,South Boston,02127,18,18,0,0.0,0.0,0.0,18,18,0.0,Rental,Private,,
481,Laconia Condominiums,South End,02124,99,0,99,71.0,0.0,71.0,28,0,28.0,Ownership,Private,,
482,Lafayette Lofts,Downtown,02111,42,0,42,38.0,0.0,38.0,4,0,4.0,Ownership,Private,,
483,Lamartine Homes - Home Again,Jamaica Plain,02130,10,2,8,0.0,0.0,0.0,10,2,8.0,Ownership/Rental,Private,,
484,Lancaster House Condominium,South End,02118,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,
485,Landfall Apartments,East Boston,02128,111,111,0,16.0,16.0,0.0,95,95,0.0,Rental,Private,Y,Y
486,Landfall West Apts,East Boston,02128,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Private,Y,
487,Langham Court,South End,02118,84,84,0,29.0,29.0,0.0,55,55,0.0,Rental,Private,,
488,Laramie (VUP),Hyde Park,02136,2,1,1,1.0,0.0,1.0,1,1,0.0,Rental,Private,,
489,Larchmont Residence,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
490,Larkin (VUP),Jamaica Plain,02130,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
491,Latin Academy Adaptive Re-use,Dorchester,02124,58,58,0,38.0,38.0,0.0,20,20,0.0,Rental,Private,,
492,Lawrence (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
493,Lawrence Court,South End,02116,12,0,12,9.0,0.0,9.0,3,0,3.0,Ownership,Private,,
494,LBB Housing,Dorchester,02126,101,101,0,0.0,0.0,0.0,101,101,0.0,Rental,Private,,Y
495,Leila Doe House,Mission Hill,02120,20,20,0,1.0,1.0,0.0,19,19,0.0,Rental,Private,,
496,Lenox Street (2-4),Roxbury,02118,285,285,0,0.0,0.0,0.0,285,285,0.0,Rental,Public,,
497,Levedo Building,Dorchester,02124,24,24,0,0.0,0.0,0.0,24,24,0.0,Rental,Private,,
498,Leventhal House,Brighton,02135,254,254,0,1.0,1.0,0.0,253,253,0.0,Rental,Private,Y,Y
499,Lewis Mall,East Boston,02128,47,47,0,0.0,0.0,0.0,47,47,0.0,Rental,Private,Y,
500,Lithgow Apts,Dorchester,02124,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,
501,Little Chestnut Street Condominium,Charlestown,02129,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,
502,Lofts at Westinghouse Plaza,Hyde Park,02136,62,16,46,53.0,16.0,37.0,9,0,9.0,Rental,Private,,
503,LOGO Apts (73u),Roxbury,02119,91,91,0,0.0,0.0,0.0,91,91,0.0,Rental,Private,,Y
504,Long Glen Apartments,Allston,02134,59,59,0,0.0,0.0,0.0,59,59,0.0,Rental,Public/Private,,
505,Long Glen Rental II (formerly homeownership),Allston,02134,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,
506,Longfellow School,Roslindale,02131,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,Y,
507,Longwood Row,Mission Hill,02120,25,25,0,21.0,21.0,0.0,4,4,0.0,Rental,Private,,
508,Lorenzo Pitts Portfolio (JPNCD 2018),Roxbury,02119,137,137,0,0.0,0.0,0.0,137,137,0.0,Rental,Private,,Y
